case_id,experiment,graph_type,n,k,density,seed,num_vars,num_clauses,result,wall_time_sec,cpu_time_reported_sec,conflicts,decisions,propagations,returncode,cnf_file
A_density_random_n60_k3_d0p035_s36,A_density,random,60,3,0.035,36,180,426,SAT,0.003017,0.001146,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s36.cnf
A_density_random_n60_k3_d0p035_s37,A_density,random,60,3,0.035,37,180,426,SAT,0.002816,0.001002,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s37.cnf
A_density_random_n60_k3_d0p035_s38,A_density,random,60,3,0.035,38,180,426,SAT,0.002571,0.000955,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s38.cnf
A_density_random_n60_k3_d0p035_s39,A_density,random,60,3,0.035,39,180,426,SAT,0.002617,0.000981,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s39.cnf
A_density_random_n60_k3_d0p035_s4,A_density,random,60,3,0.035,4,180,426,SAT,0.002566,0.000965,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s4.cnf
A_density_random_n60_k3_d0p035_s40,A_density,random,60,3,0.035,40,180,426,SAT,0.002704,0.00093,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s40.cnf
A_density_random_n60_k3_d0p035_s5,A_density,random,60,3,0.035,5,180,426,SAT,0.002835,0.00104,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s5.cnf
A_density_random_n60_k3_d0p035_s6,A_density,random,60,3,0.035,6,180,426,SAT,0.002587,0.000955,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s6.cnf
A_density_random_n60_k3_d0p035_s7,A_density,random,60,3,0.035,7,180,426,SAT,0.002933,0.00106,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s7.cnf
A_density_random_n60_k3_d0p035_s8,A_density,random,60,3,0.035,8,180,426,SAT,0.002688,0.000983,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s8.cnf
A_density_random_n60_k3_d0p035_s9,A_density,random,60,3,0.035,9,180,426,SAT,0.002656,0.000955,0,1,0,10,cnfs/A_density_random_n60_k3_d0p035_s9.cnf
A_density_random_n60_k3_d0p03_s1,A_density,random,60,3,0.03,1,180,399,SAT,0.002725,0.000952,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s1.cnf
